web-scraper-order,web-scraper-start-url,properties,properties-href,address,bed,bath,sqft,price
"1656272354-88","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/1456-Cameron-Glen-Dr_Marietta_GA_30062_M68517-75626","1456 Cameron Glen Dr, Marietta, GA 30062","4","4","4,572","$595,000"
"1656272977-174","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/1303-Glen-Ivy-13_Marietta_GA_30062_M57357-12956","1303 Glen Ivy Unit 13, Marietta, GA 30062","3","3.5","2,463","$443,000"
"1656272197-66","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/1460-Cameron-Glen-Dr_Marietta_GA_30062_M68515-89297","1460 Cameron Glen Dr, Marietta, GA 30062","4","3.5","null","$575,000"
"1656272159-61","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/3471-Cochran-Shore-Cv-NE_Marietta_GA_30062_M93381-41026","3471 Cochran Shore Cv NE, Marietta, GA 30062","5","5.5","4,000","$1,179,000"
"1656273052-184","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2373-Woodsfield-Ln-NE_Marietta_GA_30062_M60800-46596","2373 Woodsfield Ln NE, Marietta, GA 30062","4","2.5","4,114","$599,000"
"1656271883-24","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/Bishop-Lake-Rd_Marietta_GA_30062_M95985-04993","Bishop Lake Rd, Marietta, GA 30062","null","null","null","$825,000"
"1656273236-215","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/1658-Cedar-Bluff-Way_Marietta_GA_30062_M69859-21647","1658 Cedar Bluff Way, Marietta, GA 30062","2","2.5","1,232","$253,900"
"1656273406-248","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/4970-Heritage-Trace-Ct_Marietta_GA_30062_M56091-73742","4970 Heritage Trace Ct, Marietta, GA 30062","4","2.5","2,136","$489,900"
"1656272742-141","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2584-Warwick-Dr_Marietta_GA_30062_M59963-10023","2584 Warwick Dr, Marietta, GA 30062","4","2","null","$500,000"
"1656273297-227","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/811-Pinnacle-Pl_Marietta_GA_30062_M50495-34636","811 Pinnacle Pl, Marietta, GA 30062","7","7.5","8,524","$1,325,000"
"1656272799-149","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/4152-Avid-Park-1_Marietta_GA_30062_M96734-43526","4152 Avid Park NE Unit 1, Marietta, GA 30062","3","3.5","null","$835,000"
"1656273293-226","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/4090-Oak-Forest-Cir_Marietta_GA_30062_M51127-23154","4090 Oak Forest Cir, Marietta, GA 30062","6","6.5","7,332","$1,895,000"
"1656273107-192","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/4117-Avid-Park-24_Marietta_GA_30062_M98296-01450","4117 Avid Park NE Unit 24, Marietta, GA 30062","3","3.5","2,898","$943,000"
"1656272301-80","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/1562-Emerald-Glen-Dr_Marietta_GA_30062_M68936-71289","1562 Emerald Glen Dr, Marietta, GA 30062","5","3.5","null","$519,000"
"1656272664-131","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/4710-Roswell-Rd_Marietta_GA_30062_M65260-01832","4710 Roswell Rd, Marietta, GA 30062","6","6.5","6,500","$945,000"
"1656272011-42","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/4186-Shallowford-Rd_Marietta_GA_30062_M52762-31588","4186 Shallowford Rd, Marietta, GA 30062","4","4","null","$560,000"
"1656272544-114","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/2187-Smoke-Stone-Cir_Marietta_GA_30062_M62212-47252","2187 Smoke Stone Cir, Marietta, GA 30062","4","3","4,754","$689,000"
"1656273328-232","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/2193-Bliss-Ln_Marietta_GA_30062_M57929-04313","2193 Bliss Ln, Marietta, GA 30062","4","4.5","null","$1,590,000"
"1656272110-54","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/1131-Beech-St_Marietta_GA_30062_M66541-68854","1131 Beech St, Marietta, GA 30062","4","3","null","$525,000"
"1656273441-255","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1285-Robert-Ln_Marietta_GA_30062_M66967-49305","1285 Robert Ln, Marietta, GA 30062","5","5.5","6,442","$2,100,000"
"1656271904-27","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/0-Bishop-Lake-Rd_Marietta_GA_30062_M91362-37334","Bishop Lake Rd, Marietta, GA 30062","null","null","null","$825,000"
"1656273402-247","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/2363-Prince-Howard-Way_Marietta_GA_30062_M60280-97872","2363 Prince Howard Way, Marietta, GA 30062","5","3.5","3,336","$575,000"
"1656273384-244","https://www.realtor.com/realestateandhomes-search/30062/pg-1","","https://www.realtor.com/realestateandhomes-detail/1777-Danforth-Ct_Marietta_GA_30062_M55939-75535","1777 Danforth Ct, Marietta, GA 30062","5","4.5","4,946","$875,000"
"1656272240-72","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/2111-Heritage-Trace-Dr_Marietta_GA_30062_M56083-91158","2111 Heritage Trace Dr, Marietta, GA 30062","3","2.5","1,632","$400,000"
"1656272931-168","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/1600-Tappahannock-Trl_Marietta_GA_30062_M57433-37953","1600 Tappahannock Trl, Marietta, GA 30062","4","3","2,240","$499,000"
"1656273207-209","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2992-Sloans-Way_Marietta_GA_30062_M59929-67461","2992 Sloans Way, Marietta, GA 30062","3","2.5","2,114","$415,000"
"1656273113-193","https://www.realtor.com/realestateandhomes-search/30062/pg-2","","https://www.realtor.com/realestateandhomes-detail/2049-Kramer-Way_Marietta_GA_30062_M63197-41138","2049 Kramer Way, Marietta, GA 30062","3","2.5","2,649","$495,000"
"1656272771-145","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2107-Fenchurch-Ln_Marietta_GA_30062_M55962-44047","2107 Fenchurch Ln, Marietta, GA 30062","3","3","3,073","$679,000"
"1656272728-139","https://www.realtor.com/realestateandhomes-search/30062/pg-3","","https://www.realtor.com/realestateandhomes-detail/2733-Bentwood-Dr_Marietta_GA_30062_M63817-14401","2733 Bentwood Dr, Marietta, GA 30062","4","3","2,350","$539,900"
"1656272383-92","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/2960-Walker-Dr_Marietta_GA_30062_M60181-96504","2960 Walker Dr, Marietta, GA 30062","3","2","2,638","$299,000"
"1656272600-122","https://www.realtor.com/realestateandhomes-search/30062/pg-4","","https://www.realtor.com/realestateandhomes-detail/724-Bonnie-Dell-Dr_Marietta_GA_30062_M61396-37987","724 Bonnie Dell Dr, Marietta, GA 30062","3","2","1,296","$340,000"
"1656272189-65","https://www.realtor.com/realestateandhomes-search/30062/pg-5","","https://www.realtor.com/realestateandhomes-detail/2228-Lasalle-Dr_Marietta_GA_30062_M58766-80050","2228 Lasalle Dr, Marietta, GA 30062","5","4.5","5,303","$1,025,000"
"1656271898-26","https://www.realtor.com/realestateandhomes-search/30062/pg-6","","https://www.realtor.com/realestateandhomes-detail/4253-Biltmore-Pl-NE_Marietta_GA_30062_M94900-03120","4253 Biltmore Pl NE, Marietta, GA 30062","5","5.5","4,825","$1,750,000"
